LMIcaseid,URL,Casetitle,Civilaction,Venue,YearFiled,Filingdate,Declaratoryjudgment,NPECode,Patents,# Of Patents,PrimaryPatent,Patent Url,IPC,PrimaryClass,First4level,Formatted 1st4Lvl,Filingdate1,B4,B3,B2,B1,O1,A1,A2,A3,A4,Casetitle1,Casetitle2,y,tag,dup
2000082351,http://law.lexmachina.com/cases/2000082351,"Fountain, Inc. v. Ultralux, LLC",3:15-cv-04215,N.D.Cal.,2015, 9/16/2015,0,5,9077877,1,9077877,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=9077877,H04N 5/232 (20060101); F16M 11/10 (20060101); F16M 13/00 (20060101); H04N 5/77 (20060101); H04N 5/225 (20060101); F16M 13/04 (20060101),H04N 5/232,H04N 5,H04N   5,9/16/2015,11871,12904,10951,12352,12726,13022,11696,11231,9380,"Fountain, Inc.","Ultralux, LLC",1085,0,1
2000082359,http://law.lexmachina.com/cases/4966,Trading Technologies International Inc v. Patsystems NA LLC et al,1:05-cv-02984,N.D.Ill.,2005, 5/19/2005,0,8,"6766304,6772132",2,6766304,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6766304,G06F 17/00 (20060101); G06F 017/60 (),G06F 17/00 ,G06F 17,G06F  17,5/19/2005,10351,11484,10980,10925,11214,9552,10177,9128,9681,Trading Technologies International Inc,Patsystems NA LLC et al,5560,1,0
2000082361,http://law.lexmachina.com/cases/2000082361,"NextCard, LLC v. Synchrony Financial",8:15-cv-02166,M.D.Fla.,2015, 9/17/2015,0,1,"6405181, 6567791, 6718313, 7143063",4,6405181,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6405181,G06Q 40/00 (20060101); G06Q 30/00 (20060101); G06F 017/60 (),G06Q 40/00,G06Q 40,G06Q  40,9/17/2015,1191,1204,1100,1135,1208,1351,1382,1365,1060,"NextCard, LLC",Synchrony Financial,527,1,0
2000082375,http://law.lexmachina.com/cases/2000039003,"Versata Software, Inc. et al v. Volusion, Inc.",1:12-cv-00893,W.D.Tex.,2012, 9/25/2012,0,8,"6834282,6978273,7426481",3,6834282,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6834282,G06F 7/00 (20060101); G06F 007/00 (),G06F 7/00 ,G06F 7,G06F   7,9/25/2012,1640,1678,1500,1656,1560,1319,1372,977,997,"Versata Software, Inc. et al","Volusion, Inc.",5743,0,2
2000082380,http://law.lexmachina.com/cases/96168,"Vizio, Inc. v. LG Electronics Inc. et al",1:09-cv-01481,D.Md.,2009,  6/5/2009,0,8,"5233629,5396518,5511082,5511096,5621761,5703887,5745522,7365803,RE37326",9,5233629,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=5233629,G06T 9/00 (20060101); H04L 27/34 (20060101); H04L 1/00 (20060101); H04N 7/24 (20060101); H04N 7/015 (20060101); H04N 7/64 (20060101); H04N 7/66 (20060101); H03M 013/12 (),G06T 9/00 ,G06T 9,G06T   9,6/5/2009,172,107,143,96,184,144,240,153,205,"Vizio, Inc.",LG Electronics Inc. et al,5786,0,2
2000082422,http://law.lexmachina.com/cases/16235,"PNI Corporation v. Suunto USA Inc, et al",2:03-cv-00280,W.D.Wash.,2003,  2/7/2003,0,8,5381603,1,5381603,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=5381603,G01C 17/00 (20060101); G01C 17/30 (20060101); G01C 017/10 (),G01C 17/00 ,G01C 17,G01C  17,2/7/2003,39,66,69,85,65,60,103,97,159,PNI Corporation,"Suunto USA Inc, et al",4597,0,4
2000082444,http://law.lexmachina.com/cases/2000082444,"CYVA Research Holdings, LLC v. LockLizard Limited",2:15-cv-01541,E.D.Tex.,2015, 9/18/2015,0,5,5987440,1,5987440,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=5987440,G06Q 30/00 (20060101); H04L 29/06 (20060101); H04L 29/08 (20060101); G06F 017/60 (),G06Q 30/00,G06Q 30,G06Q  30,9/18/2015,5240,5398,5008,5660,5596,5967,5156,5590,4435,"CYVA Research Holdings, LLC",LockLizard Limited,1030,0,11
2000082445,http://law.lexmachina.com/cases/2000082445,"Automation Middleware Solutions, Inc. v. Kollmorgen Corporation et al",2:15-cv-01539,E.D.Tex.,2015, 9/18/2015,0,1,"5691897, 6513058, 6516236, 6941543, 8073557",5,5691897,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=5691897,G05B 19/416 (20060101); G05B 019/18 (); G05B 019/42 (),G05B 19/416,G05B 19,G05B  19,9/18/2015,4234,6161,4400,5296,5264,6982,4781,5724,5365,"Automation Middleware Solutions, Inc.",Kollmorgen Corporation et al,74,0,1
2000082492,http://law.lexmachina.com/cases/11331,"Avitech, L.L.C. v. Embrex, Inc.",1:04-cv-03082,D.Md.,2004, 9/27/2004,0,8,5136979,1,5136979,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=5136979,A01K 45/00 (20060101); A01K 045/00 (),A01K 45/00 ,A01K 45,A01K  45,9/27/2004,28,45,22,21,22,37,16,47,13,"Avitech, L.L.C.","Embrex, Inc.",2001,1,0
2000082530,http://law.lexmachina.com/cases/80184,Boehringer Ingelheim Vetmedica Inc v. Merial Ltd et al,3:09-cv-00212,D.Conn.,2009,  2/4/2009,0,8,"6103526,6224882",2,6103526,http://patft.uspto.gov/netacgi/nph-Parser?patentnumber=6103526,C07K 14/16 (20060101); C07K 14/195 (20060101); C07K 14/005 (20060101); C07K 14/285 (20060101); C07K 14/505 (20060101); C07K 14/435 (20060101); C07K 14/73 (20060101); C07K 14/78 (20060101); C12N 5/06 (20060101); C12N 005/00 (),C07K 14/16 ,C07K 14,C07K  14,2/4/2009,3923,4292,4366,4591,3443,4007,4020,4199,3877,Boehringer Ingelheim Vetmedica Inc,Merial Ltd et al,2170,1,0
