LMIcaseid,URL,Casetitle,Civilaction,Venue,YearFiled,Filingdate,Declaratoryjudgment,NPECode,Patents,# Of Patents,PrimaryPatent,IPC Url ,IPC,PrimaryClass,First4level,Filingdate1,B4,B3,B2,B1,Q0,A1,A2,A3,A4,Casetitle1,Casetitle2,y,tag,dup,,,,,,,
No Patents Available (On Lex Machina),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000000325,http://law.lexmachina.com/cases/1000000325,"USA Products Group, Inc. v. Eurow Corporation et al",3:02-cv-05072,N.D.Cal.,2002,10/18/2002,0,8,No Patents Available from Lex Machina,,,,,,,10/18/2002,Not Available,,,,,,,,,"USA Products Group, Inc.",Eurow Corporation et al,5697,1,0,,,,,,,
1000000346,http://law.lexmachina.com/cases/1000000346,"Sharper Image Corporation et al v. Brookstone Company, Inc.",3:02-cv-05817,N.D.Cal.,2002,12/13/2002,0,8,No Patents Available from Lex Machina,,,,,,,12/13/2002,Not Available,,,,,,,,,Sharper Image Corporation et al,"Brookstone Company, Inc.",5034,1,2,,,,,,,
1000000347,http://law.lexmachina.com/cases/1000000347,"EZ Environmental Solutions, Corp. v. Petter Investments, Inc.",3:02-cv-05822,N.D.Cal.,2002,12/13/2002,0,8,No Patents Available from Lex Machina,,,,,,,12/13/2002,Not Available,,,,,,,,,"EZ Environmental Solutions, Corp.","Petter Investments, Inc.",2906,1,0,,,,,,,
1000000349,http://law.lexmachina.com/cases/1000000349,Boston Scientific Corporation et al v. Guidant Corporation Inc et al,3:02-cv-05969,N.D.Cal.,2002,12/30/2002,0,8,No Patents Available from Lex Machina,,,,,,,12/30/2002,Not Available,,,,,,,,,Boston Scientific Corporation et al,Guidant Corporation Inc et al,2184,0,1,,,,,,,
1000000461,http://law.lexmachina.com/cases/1000000461,"FusionOne, Inc. v. NCR Corporation",3:04-cv-00182,N.D.Cal.,2004, 1/13/2004,0,8,No Patents Available from Lex Machina,,,,,,,1/13/2004,Not Available,,,,,,,,,"FusionOne, Inc.",NCR Corporation,3061,1,0,,,,,,,
1000000485,http://law.lexmachina.com/cases/1000000485,"Seven Networks, Inc. v. Visto Corporation",3:04-cv-01641,N.D.Cal.,2004, 4/27/2004,1,8,No Patents Available from Lex Machina,,,,,,,4/27/2004,Not Available,,,,,,,,,"Seven Networks, Inc.",Visto Corporation,5024,1,0,,,,,,,
1000000489,http://law.lexmachina.com/cases/1000000489,Genentech Inc. v. Trustees of Columbia University in the City of New York,3:04-cv-01910,N.D.Cal.,2004, 5/14/2004,1,6,No Patents Available from Lex Machina,,,,,,,5/14/2004,Not Available,,,,,,,,,Genentech Inc.,Trustees of Columbia University in the City of New York,1500,1,0,,,,,,,
1000000518,http://law.lexmachina.com/cases/1000000518,"Lonestar Inventions, L.P. v. Marvell Semiconductor Inc. et al",3:04-cv-03297,N.D.Cal.,2004, 8/12/2004,0,5,No Patents Available from Lex Machina,,,,,,,8/12/2004,Not Available,,,,,,,,,Lonestar Inventions L.P.,Marvell Semiconductor Inc. et al,1212,1,0,,,,,,,
1000000623,http://law.lexmachina.com/cases/1000000623,"OKeeffes, Inc. v. Allco Millwork et al",3:05-cv-02715,N.D.Cal.,2005,  7/1/2005,0,8,No Patents Available from Lex Machina,,,,,,,7/1/2005,Not Available,,,,,,,,,"OKeeffes, Inc.",Allco Millwork et al,4341,1,0,,,,,,,
1000000666,http://law.lexmachina.com/cases/1000000666,Toshiba Corporation v. Hynix Semiconductor Inc. et al,3:05-cv-04547,N.D.Cal.,2005, 11/7/2005,0,8,No Patents Available from Lex Machina,,,,,,,11/7/2005,Not Available,,,,,,,,,Toshiba Corporation,Hynix Semiconductor Inc. et al,5551,1,2,,,,,,,
1000000683,http://law.lexmachina.com/cases/1000000683,Food.com Inc v. Papa Johns Intl,4:01-cv-00269,N.D.Cal.,2001, 1/16/2001,0,7,No Patents Available from Lex Machina,,,,,,,1/16/2001,Not Available,,,,,,,,,Food.com Inc,Papa Johns Intl,1531,1,0,,,,,,,
1000000706,http://law.lexmachina.com/cases/1000000706,"Tumbleweed Communications Corp. v. Hallmark Cards, Incorporated",4:01-cv-04675,N.D.Cal.,2001, 12/3/2001,0,8,No Patents Available from Lex Machina,,,,,,,12/3/2001,Not Available,,,,,,,,,Tumbleweed Communications Corp.,"Hallmark Cards, Incorporated",5623,1,2,,,,,,,
1000000726,http://law.lexmachina.com/cases/1000000726,"IP Learn, LLC. v. SumTotal Systems, Inc.",4:02-cv-02636,N.D.Cal.,2002, 5/31/2002,0,5,No Patents Available from Lex Machina,,,,,,,5/31/2002,Not Available,,,,,,,,,"IP Learn, LLC.","SumTotal Systems, Inc.",1155,0,2,,,,,,,
1000000733,http://law.lexmachina.com/cases/1000000733,OHagins Inc v. M5 Steel Mfg. Inc.,4:02-cv-04532,N.D.Cal.,2002, 9/17/2002,0,8,No Patents Available from Lex Machina,,,,,,,9/17/2002,Not Available,,,,,,,,,OHagins Inc,M5 Steel Mfg. Inc.,4336,1,0,,,,,,,
1000000739,http://law.lexmachina.com/cases/1000000739,"PNI Corporation v. Zensys USA, Inc.",4:02-cv-05279,N.D.Cal.,2002, 11/1/2002,0,8,No Patents Available from Lex Machina,,,,,,,11/1/2002,Not Available,,,,,,,,,PNI Corporation,"Zensys USA, Inc.",4597,0,2,,,,,,,
1000000749,http://law.lexmachina.com/cases/1000000749,"Epistar Corporation v. Lumileds Lighting US, LLC",4:03-cv-01130,N.D.Cal.,2003, 3/17/2003,0,8,No Patents Available from Lex Machina,,,,,,,3/17/2003,Not Available,,,,,,,,,Epistar Corporation,"Lumileds Lighting US, LLC",2861,1,0,,,,,,,
1000000759,http://law.lexmachina.com/cases/1000000759,"PCTEL, Inc. v. 3COM Corporation",4:03-cv-03124,N.D.Cal.,2003,  7/3/2003,0,8,No Patents Available from Lex Machina,,,,,,,7/3/2003,Not Available,,,,,,,,,"PCTEL, Inc.",3COM Corporation,4512,1,1,,,,,,,
1000000812,http://law.lexmachina.com/cases/1000000812,"Methode Electronics, et al v. Finisar Corporation",5:01-cv-00268,N.D.Cal.,2001, 1/16/2001,0,8,No Patents Available from Lex Machina,,,,,,,1/16/2001,Not Available,,,,,,,,,"Methode Electronics, et al",Finisar Corporation,4021,1,2,,,,,,,
1000000817,http://law.lexmachina.com/cases/1000000817,"Nidek Co., LTD v. VISX, Incorporated",5:01-cv-20015,N.D.Cal.,2001,  1/8/2001,0,8,No Patents Available from Lex Machina,,,,,,,1/8/2001,Not Available,,,,,,,,,"Nidek Co., LTD","VISX, Incorporated",4257,1,0,,,,,,,
1000000818,http://law.lexmachina.com/cases/1000000818,"Seiko Epson Corp v. ADI Systems, Inc., et al",5:01-cv-20051,N.D.Cal.,2001, 1/19/2001,0,8,No Patents Available from Lex Machina,,,,,,,1/19/2001,Not Available,,,,,,,,,Seiko Epson Corp,"ADI Systems, Inc., et al",4993,1,0,,,,,,,
1000000821,http://law.lexmachina.com/cases/1000000821,Tan v. Trapp,5:01-cv-20241,N.D.Cal.,2001, 3/21/2001,0,9,No Patents Available from Lex Machina,,,,,,,3/21/2001,Not Available,,,,,,,,,Tan,Trapp,6447,0,2,,,,,,,
1000000840,http://law.lexmachina.com/cases/1000000840,"IT Concepts, LLC v. Advanced Dental Imaging, Inc.",5:01-cv-21052,N.D.Cal.,2001, 8/24/2001,0,8,No Patents Available from Lex Machina,,,,,,,8/24/2001,Not Available,,,,,,,,,"IT Concepts, LLC","Advanced Dental Imaging, Inc.",3542,1,0,,,,,,,
1000000847,http://law.lexmachina.com/cases/1000000847,Cygnus Telecommunications Technology v. Dial-Thru International,5:02-cv-00142,N.D.Cal.,2002,  1/9/2002,0,1,No Patents Available from Lex Machina,,,,,,,1/9/2002,Not Available,,,,,,,,,Cygnus Telecommunications Technology,Dial-Thru International,186,0,9,,,,,,,
